,image_name,x,y,score
112,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,848,1954,0.9076821804046631
113,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1510,1883,0.83672696352005
114,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1505,1883,0.12383867800235748
115,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,129,1876,0.9471042156219482
116,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1086,1852,0.9470166563987732
117,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,825,1795,0.9360631704330444
118,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1893,1792,0.8661025166511536
119,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1892,1786,0.1411273032426834
120,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,395,1640,0.9261346459388733
121,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1083,1598,0.954373300075531
122,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1647,1550,0.8448545336723328
123,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1647,1546,0.6138875484466553
124,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1647,1544,0.7113390564918518
125,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1391,1484,0.8840034008026123
126,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1389,1483,0.645013153553009
127,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,616,1430,0.1297094225883484
128,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,613,1430,0.8436443209648132
129,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1085,1381,0.7872158885002136
130,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1079,1379,0.8104549050331116
131,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1951,1300,0.750734806060791
132,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1956,1298,0.12703776359558105
133,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1555,1273,0.9470568299293518
134,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1340,1031,0.9581352472305298
135,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,548,998,0.9174796342849731
136,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,547,992,0.8129878044128418
137,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,268,949,0.3305116295814514
138,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,267,943,0.8678916692733765
139,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1376,926,0.8316351175308228
140,RPE1wt_CEP63+CETN2+PCNT_1_000_000_max_C1,1654,923,0.9316858649253845
